epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1928.55,1.40632,2.40331,1.49728,0.36636,0.24613,0.24192,0.13753,1.43518,2.28416,1.55475,0.000332606,0.000332606,0.000332606
2,20806.9,1.46227,2.06237,1.5387,0.29897,0.27372,0.21852,0.12627,1.50259,2.3606,1.61124,0.000652753,0.000652753,0.000652753
3,22831.4,1.45918,1.98349,1.54028,0.31195,0.28004,0.24329,0.13275,1.57737,2.1176,1.63722,0.000959701,0.000959701,0.000959701
4,24714.4,1.44578,1.93368,1.53414,0.3753,0.25201,0.2635,0.1602,1.5147,1.95132,1.61246,0.0009406,0.0009406,0.0009406
5,26602.7,1.41941,1.82311,1.52072,0.36965,0.29492,0.27155,0.16525,1.448,1.91234,1.58807,0.0009208,0.0009208,0.0009208
6,28485.7,1.3962,1.76104,1.50148,0.42267,0.33553,0.33053,0.19211,1.49437,1.80146,1.57539,0.000901,0.000901,0.000901
7,30256.5,1.37612,1.68712,1.47868,0.37462,0.30654,0.30608,0.18641,1.44519,1.82407,1.56024,0.0008812,0.0008812,0.0008812
8,32019.5,1.35231,1.63808,1.4679,0.4365,0.32597,0.33442,0.20951,1.40017,1.6537,1.52313,0.0008614,0.0008614,0.0008614
9,33775.6,1.35824,1.60885,1.46794,0.45815,0.35365,0.37188,0.23834,1.34373,1.59329,1.48929,0.0008416,0.0008416,0.0008416
10,35536.9,1.32537,1.58061,1.4584,0.40186,0.34053,0.33066,0.20941,1.33583,1.6693,1.47241,0.0008218,0.0008218,0.0008218
11,37288.8,1.32155,1.55445,1.44959,0.42124,0.36889,0.36546,0.22841,1.35249,1.55379,1.47919,0.000802,0.000802,0.000802
12,39034.5,1.321,1.51003,1.44837,0.38525,0.34921,0.31475,0.19947,1.3448,1.75058,1.47646,0.0007822,0.0007822,0.0007822
13,40785.3,1.29918,1.50065,1.43404,0.46267,0.34111,0.346,0.2115,1.39594,1.64225,1.50349,0.0007624,0.0007624,0.0007624
14,42537.9,1.30433,1.48202,1.43462,0.51503,0.38229,0.40894,0.25319,1.33464,1.45207,1.44587,0.0007426,0.0007426,0.0007426
15,44294.8,1.29717,1.44885,1.42685,0.45916,0.37653,0.38561,0.25167,1.30182,1.47824,1.4393,0.0007228,0.0007228,0.0007228
16,46061.3,1.30449,1.43801,1.42704,0.48865,0.40062,0.43253,0.2745,1.34388,1.37174,1.45243,0.000703,0.000703,0.000703
17,47809.3,1.28302,1.40971,1.41508,0.49137,0.38364,0.41904,0.2742,1.28975,1.37891,1.42269,0.0006832,0.0006832,0.0006832
18,49566.2,1.27112,1.39015,1.40771,0.52248,0.4052,0.44106,0.28078,1.29594,1.32264,1.43143,0.0006634,0.0006634,0.0006634
19,51319.3,1.26067,1.37545,1.40548,0.50937,0.38852,0.42438,0.27226,1.32368,1.36332,1.44307,0.0006436,0.0006436,0.0006436
20,53071.2,1.24777,1.33798,1.39368,0.52232,0.41614,0.45951,0.30178,1.26137,1.27591,1.4037,0.0006238,0.0006238,0.0006238
21,54821.1,1.25657,1.35157,1.39857,0.51449,0.42235,0.43806,0.28635,1.26561,1.35363,1.4008,0.000604,0.000604,0.000604
22,56571.1,1.2554,1.33085,1.39268,0.52901,0.40517,0.44553,0.29014,1.26641,1.34322,1.39416,0.0005842,0.0005842,0.0005842
23,58312.1,1.23104,1.31155,1.38345,0.503,0.41441,0.43642,0.29339,1.24544,1.31841,1.39111,0.0005644,0.0005644,0.0005644
24,60064.3,1.24568,1.29437,1.38434,0.54921,0.39255,0.45269,0.30609,1.23483,1.27911,1.37636,0.0005446,0.0005446,0.0005446
